Product Name,Price,Color,Product Link,Image Link
Seamless padded soft bra,Rs.799.00,Black,https://www2.hm.com/en_in/productpage.1206002001.html,"https://lp2.hm.com/hmgoepprod?set=source[/d0/93/d093bb74a22f196805316baf7fa5641343ef5109.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Straight joggers,"Rs.1,399.00",Black,https://www2.hm.com/en_in/productpage.1128433001.html,"https://lp2.hm.com/hmgoepprod?set=source[/1a/19/1a195f9b1c1d17aa53b1062280d75f689d2ee7d0.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Sweatshirt,Rs.799.00,Dusty pink marl,https://www2.hm.com/en_in/productpage.1143405028.html,"https://lp2.hm.com/hmgoepprod?set=source[/63/94/63949b2752da3d1b70ed675fab364dcff471ff0a.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Straight trousers,"Rs.1,999.00",Beige,https://www2.hm.com/en_in/productpage.1214614002.html,"https://lp2.hm.com/hmgoepprod?set=source[/6b/43/6b43982787d44504efe5a8756359d745635181d4.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Long-sleeved top,Rs.699.00,Black,https://www2.hm.com/en_in/productpage.1158565001.html,"https://lp2.hm.com/hmgoepprod?set=source[/29/0c/290c27f1d3de3553bb38bb78b719991325253012.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Ribbed maxi dress,"Rs.1,299.00",Black,https://www2.hm.com/en_in/productpage.1224416001.html,"https://lp2.hm.com/hmgoepprod?set=source[/c5/61/c5613abe496aebbbe2f2c2b69abba9a6d07561f7.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Frill-trimmed crêpe blouse,"Rs.1,499.00",White/Blue floral,https://www2.hm.com/en_in/productpage.1126584019.html,"https://lp2.hm.com/hmgoepprod?set=source[/68/ab/68ab7d54739c7fa8103037a8a252526da94bf035.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Wing-shaped earrings,Rs.599.00,Gold-coloured,https://www2.hm.com/en_in/productpage.1205726001.html,"https://lp2.hm.com/hmgoepprod?set=source[/30/26/30260db8638e8b331126bdc0d51261d77b79e51e.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[2]&call=url[file:/product/style]"
Fitted T-shirt,Rs.799.00,Black,https://www2.hm.com/en_in/productpage.1162812016.html,"https://lp2.hm.com/hmgoepprod?set=source[/3a/ae/3aaeab8dae4d4932453b10d12abab0d24bfd1401.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
5-pack briefs,Rs.799.00,Light purple/White/Beige,https://www2.hm.com/en_in/productpage.1084213016.html,"https://lp2.hm.com/hmgoepprod?set=source[/cd/28/cd28fdec97afa90cbfb587dcaa5ae5e35cbb5818.jpg],origin[dam],category[ladies_lingerie_briefsknickers_multipack],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
